epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,16584.6,1.7787,3.15722,5.99281,0.0169,0.25312,0.64069,0.16078,0.18057,0.07874,0.60785,0.12208,0.11988,0.04023,1.0559,1.97383,3.51108,0.01087,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,17325.8,1.77807,3.11251,5.9039,0.0168,0.24239,0.60942,0.15969,0.17463,0.0766,0.58759,0.13704,0.11612,0.0411,1.06047,1.97223,3.45641,0.01092,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,18031.1,1.74826,3.1064,5.83657,0.01642,0.24379,0.65201,0.17703,0.19094,0.08312,0.60492,0.14215,0.13156,0.04431,1.0597,1.95808,3.43497,0.01084,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,18749.8,1.75822,3.06345,5.74501,0.01649,0.24007,0.59851,0.17269,0.17475,0.07795,0.58192,0.13777,0.11706,0.0388,1.06606,1.95753,3.44572,0.01089,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,19467.5,1.75759,3.04771,5.80517,0.01622,0.23575,0.64715,0.17516,0.17046,0.07784,0.599,0.13573,0.11319,0.03849,1.05825,1.95821,3.40509,0.01078,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,20182.4,1.7369,3.02727,5.64263,0.0164,0.23615,0.62433,0.18605,0.1794,0.079,0.5781,0.14651,0.10636,0.04008,1.06237,1.96085,3.37208,0.01089,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,20901.1,1.74226,3.02635,5.59932,0.0164,0.23832,0.63391,0.19327,0.20807,0.08634,0.59526,0.1505,0.14647,0.04864,1.06292,1.93983,3.3646,0.01089,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,21634,1.7451,2.99347,5.54008,0.0163,0.23639,0.64951,0.20475,0.18626,0.08011,0.6082,0.15631,0.1263,0.0443,1.06952,1.94228,3.3238,0.01093,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,22353.1,1.71176,2.94029,5.4309,0.01588,0.23351,0.6269,0.20616,0.18954,0.08302,0.59561,0.15323,0.12462,0.04435,1.06594,1.94836,3.30902,0.01089,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,23070.4,1.74081,2.95952,5.41598,0.01592,0.23101,0.63135,0.21432,0.19439,0.08495,0.61016,0.16012,0.12481,0.04342,1.06855,1.93671,3.27699,0.01093,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,23800.6,1.70606,2.91176,5.33687,0.01589,0.23152,0.64381,0.21175,0.1942,0.08611,0.62626,0.16191,0.12967,0.04504,1.07035,1.92255,3.25101,0.01099,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,24533.4,1.69192,2.88344,5.20914,0.01581,0.22569,0.65885,0.20553,0.198,0.08727,0.62435,0.16104,0.13091,0.04563,1.067,1.91481,3.25289,0.01095,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,25255,1.69897,2.86618,5.21496,0.01572,0.229,0.65623,0.20589,0.19311,0.08427,0.62589,0.15764,0.12978,0.04554,1.07125,1.92831,3.25113,0.01106,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,25975.1,1.70064,2.84315,5.07289,0.0158,0.22157,0.65672,0.2051,0.19881,0.08671,0.62214,0.15712,0.13282,0.04539,1.07941,1.93869,3.25527,0.01122,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,26713.4,1.6766,2.79704,4.92861,0.01544,0.21885,0.65086,0.20976,0.19774,0.08479,0.60802,0.16825,0.13547,0.04641,1.07961,1.94467,3.26279,0.01127,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,27428.2,1.66859,2.77697,4.85004,0.01535,0.22246,0.64765,0.20954,0.19637,0.08395,0.60666,0.17024,0.13498,0.04588,1.08911,1.94265,3.24578,0.01135,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,28145.9,1.66038,2.78909,4.81971,0.01542,0.22093,0.647,0.20839,0.1932,0.08312,0.60745,0.16822,0.13041,0.04508,1.09214,1.94625,3.23277,0.01137,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,28857.9,1.65235,2.75786,4.74809,0.01515,0.21359,0.64504,0.20512,0.19318,0.08377,0.60915,0.16848,0.13047,0.04481,1.09157,1.95342,3.24639,0.01137,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,29572.1,1.56342,2.40156,3.87748,0.01588,0.16251,0.63911,0.21016,0.19185,0.08249,0.61014,0.16883,0.13121,0.04415,1.09581,1.95584,3.24765,0.01142,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,30273.9,1.52566,2.35514,3.77545,0.01528,0.1578,0.64009,0.21713,0.1913,0.08239,0.5211,0.17363,0.12974,0.04522,1.10209,1.96281,3.23467,0.01151,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,30999.5,1.54278,2.33514,3.56516,0.01558,0.1504,0.49777,0.21669,0.19274,0.08359,0.39105,0.17455,0.13296,0.04606,1.10336,1.96599,3.24746,0.01149,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,31702.4,1.52178,2.30894,3.51166,0.01534,0.14764,0.50048,0.21864,0.19227,0.08301,0.41383,0.17602,0.13333,0.0447,1.10866,1.96828,3.25127,0.01156,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,32405.2,1.50755,2.26937,3.33019,0.01519,0.14149,0.50198,0.21109,0.19171,0.08312,0.42762,0.17679,0.13304,0.04553,1.11142,1.96894,3.25686,0.01162,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,33112.4,1.49369,2.24827,3.24653,0.01486,0.13627,0.47939,0.20983,0.18968,0.08296,0.41588,0.17885,0.13458,0.04462,1.11422,1.9845,3.26895,0.01163,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,33815.8,1.47697,2.24376,3.16756,0.01461,0.1342,0.47709,0.20386,0.19176,0.08326,0.41344,0.17351,0.1351,0.04487,1.11944,1.98789,3.27026,0.01171,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,34522.8,1.47631,2.20271,3.00476,0.0146,0.12877,0.4611,0.20779,0.19169,0.08319,0.41703,0.17299,0.13465,0.04445,1.12371,1.99136,3.27504,0.01174,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,35243.4,1.45435,2.18118,2.95574,0.01433,0.12617,0.45196,0.20835,0.19189,0.0827,0.41474,0.17121,0.13481,0.04442,1.12862,1.99987,3.27749,0.01181,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,35945.7,1.44335,2.16686,2.82079,0.01425,0.1233,0.42552,0.21382,0.19271,0.0842,0.3966,0.17184,0.13435,0.04403,1.1317,2.0069,3.29045,0.01185,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
